time_iso8601,stars_cumulative
2024-08-30 00:00:00+00:00,1
2024-09-23 00:00:00+00:00,2
2024-10-16 00:00:00+00:00,3
2025-01-13 00:00:00+00:00,4
2025-01-14 00:00:00+00:00,6
2025-02-03 00:00:00+00:00,7
2025-03-02 00:00:00+00:00,8
2025-04-10 00:00:00+00:00,9
2025-07-23 00:00:00+00:00,10
2025-07-25 00:00:00+00:00,11
2025-09-17 00:00:00+00:00,12
2025-10-13 00:00:00+00:00,13
2025-10-23 00:00:00+00:00,14
2026-01-29 00:00:00+00:00,15
