time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-29 00:00:00+00:00,3,3,,
2025-11-30 00:00:00+00:00,2,2,5.0,3.0
2025-12-01 00:00:00+00:00,39,10,1.0,1.0
2025-12-02 00:00:00+00:00,24,6,10.0,1.0
2025-12-03 00:00:00+00:00,93,21,10.0,2.0
2025-12-04 00:00:00+00:00,15,6,,
2025-12-05 00:00:00+00:00,6,6,,
2025-12-06 00:00:00+00:00,10,6,1.0,1.0
2025-12-07 00:00:00+00:00,9,5,3.0,2.0
2025-12-08 00:00:00+00:00,7,5,,
2025-12-09 00:00:00+00:00,27,14,3.0,1.0
2025-12-10 00:00:00+00:00,11,7,31.0,4.0
2025-12-11 00:00:00+00:00,3,3,1.0,1.0
2025-12-12 00:00:00+00:00,4,1,2.0,2.0
