time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,11,5,1,1
2026-04-14 00:00:00+00:00,39,12,2,2
2026-04-15 00:00:00+00:00,27,9,1,1
2026-04-16 00:00:00+00:00,32,9,1,1
2026-04-17 00:00:00+00:00,31,9,1,1
2026-04-18 00:00:00+00:00,8,6,2,2
2026-04-19 00:00:00+00:00,26,14,1,1
2026-04-20 00:00:00+00:00,55,19,0,0
2026-04-21 00:00:00+00:00,72,27,0,0
2026-04-22 00:00:00+00:00,86,31,2,2
2026-04-23 00:00:00+00:00,92,31,0,0
2026-04-24 00:00:00+00:00,61,24,8,1
2026-04-25 00:00:00+00:00,58,25,0,0
2026-04-26 00:00:00+00:00,37,11,0,0
