time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,24,9,1.0,1.0
2025-11-05 00:00:00+00:00,6,4,1.0,1.0
2025-11-06 00:00:00+00:00,15,7,,
2025-11-07 00:00:00+00:00,14,6,4.0,1.0
2025-11-08 00:00:00+00:00,17,6,19.0,4.0
2025-11-09 00:00:00+00:00,6,5,3.0,3.0
2025-11-10 00:00:00+00:00,12,7,,
2025-11-11 00:00:00+00:00,23,8,6.0,5.0
2025-11-12 00:00:00+00:00,4,3,4.0,3.0
2025-11-13 00:00:00+00:00,5,4,21.0,3.0
2025-11-14 00:00:00+00:00,4,3,4.0,1.0
2025-11-15 00:00:00+00:00,2,2,,
2025-11-16 00:00:00+00:00,2,2,1.0,1.0
2025-11-17 00:00:00+00:00,2,2,5.0,3.0
