time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,5,5,3.0,1.0
2025-10-13 00:00:00+00:00,3,3,14.0,7.0
2025-10-14 00:00:00+00:00,22,7,8.0,4.0
2025-10-15 00:00:00+00:00,4,4,4.0,1.0
2025-10-16 00:00:00+00:00,3,2,2.0,1.0
2025-10-17 00:00:00+00:00,10,4,27.0,7.0
2025-10-18 00:00:00+00:00,8,3,10.0,3.0
2025-10-19 00:00:00+00:00,8,3,4.0,3.0
2025-10-20 00:00:00+00:00,3,3,14.0,5.0
2025-10-21 00:00:00+00:00,14,4,2.0,2.0
2025-10-22 00:00:00+00:00,13,8,,
2025-10-23 00:00:00+00:00,6,6,6.0,1.0
2025-10-24 00:00:00+00:00,12,6,12.0,5.0
2025-10-25 00:00:00+00:00,8,3,,
