time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,20,8,1,1
2026-06-14 00:00:00+00:00,29,8,0,0
2026-06-15 00:00:00+00:00,16,9,9,5
2026-06-16 00:00:00+00:00,30,9,0,0
2026-06-17 00:00:00+00:00,22,8,3,2
2026-06-18 00:00:00+00:00,14,4,5,3
2026-06-19 00:00:00+00:00,44,11,10,2
2026-06-20 00:00:00+00:00,46,12,0,0
2026-06-21 00:00:00+00:00,31,7,1,1
2026-06-22 00:00:00+00:00,34,10,4,3
2026-06-23 00:00:00+00:00,48,10,24,2
2026-06-24 00:00:00+00:00,33,10,15,1
2026-06-25 00:00:00+00:00,41,10,11,3
2026-06-26 00:00:00+00:00,21,8,20,1
