time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,15,6,2,2
2026-05-23 00:00:00+00:00,11,6,0,0
2026-05-24 00:00:00+00:00,16,6,2,2
2026-05-25 00:00:00+00:00,28,10,0,0
2026-05-26 00:00:00+00:00,18,7,0,0
2026-05-27 00:00:00+00:00,16,8,1,1
2026-05-28 00:00:00+00:00,17,9,5,4
2026-05-29 00:00:00+00:00,20,9,1,1
2026-05-30 00:00:00+00:00,28,9,0,0
2026-05-31 00:00:00+00:00,10,5,1,1
2026-06-01 00:00:00+00:00,22,10,3,3
2026-06-02 00:00:00+00:00,22,9,0,0
2026-06-03 00:00:00+00:00,25,11,6,1
2026-06-04 00:00:00+00:00,11,5,3,1
