time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-22 00:00:00+00:00,9,4,0,0
2026-08-23 00:00:00+00:00,16,6,0,0
2026-08-24 00:00:00+00:00,4,4,2,2
2026-08-25 00:00:00+00:00,3,2,11,2
2026-08-26 00:00:00+00:00,7,5,3,3
2026-08-27 00:00:00+00:00,3,2,50,2
2026-08-28 00:00:00+00:00,14,4,12,4
2026-08-29 00:00:00+00:00,1128,3,0,0
2026-08-30 00:00:00+00:00,3,2,0,0
2026-08-31 00:00:00+00:00,2,2,5,2
2026-09-01 00:00:00+00:00,2,2,4,2
2026-09-02 00:00:00+00:00,16,10,3,3
2026-09-03 00:00:00+00:00,1,1,4,1
2026-09-04 00:00:00+00:00,9,6,3,3
