time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-05 00:00:00+00:00,6,6,,
2025-12-06 00:00:00+00:00,10,6,1.0,1.0
2025-12-07 00:00:00+00:00,9,5,3.0,2.0
2025-12-08 00:00:00+00:00,7,5,,
2025-12-09 00:00:00+00:00,27,14,3.0,1.0
2025-12-10 00:00:00+00:00,11,7,31.0,4.0
2025-12-11 00:00:00+00:00,3,3,1.0,1.0
2025-12-12 00:00:00+00:00,13,4,2.0,2.0
2025-12-13 00:00:00+00:00,18,5,2.0,1.0
2025-12-14 00:00:00+00:00,13,6,2.0,2.0
2025-12-15 00:00:00+00:00,11,5,1.0,1.0
2025-12-16 00:00:00+00:00,11,7,18.0,3.0
2025-12-17 00:00:00+00:00,11,7,22.0,1.0
2025-12-18 00:00:00+00:00,1,1,3.0,2.0
