time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-06 00:00:00+00:00,3.0,1.0,13.0,3.0
2024-12-07 00:00:00+00:00,3.0,1.0,,
2024-12-08 00:00:00+00:00,,,1.0,1.0
2024-12-09 00:00:00+00:00,20.0,2.0,23.0,2.0
2024-12-10 00:00:00+00:00,2.0,2.0,8.0,3.0
2024-12-11 00:00:00+00:00,18.0,2.0,22.0,3.0
2024-12-12 00:00:00+00:00,100.0,2.0,39.0,4.0
2024-12-13 00:00:00+00:00,8.0,4.0,12.0,1.0
2024-12-14 00:00:00+00:00,5.0,3.0,,
2024-12-16 00:00:00+00:00,,,25.0,2.0
2024-12-17 00:00:00+00:00,1.0,1.0,9.0,3.0
2024-12-18 00:00:00+00:00,,,9.0,4.0
2024-12-19 00:00:00+00:00,5.0,3.0,1.0,1.0
